lon,lat,dttm,chla
-179.75,48.25,2021-09-10T00:00:00.000Z,0.8591577225
-179.75,48.5,2021-09-10T00:00:00.000Z,0.7109035253125
-179.75,48.75,2021-09-10T00:00:00.000Z,0.6851922238095238
-179.75,49,2021-09-10T00:00:00.000Z,1.0973839146153845
-179.75,49.25,2021-09-10T00:00:00.000Z,1.113705368
-179.75,49.5,2021-09-10T00:00:00.000Z,0.9299547223076923
-179.75,49.75,2021-09-10T00:00:00.000Z,1.0832545720689655
-179.75,50,2021-09-10T00:00:00.000Z,1.027178123076923
-179.5,0,2021-09-10T00:00:00.000Z,0.17821180333333334
-179.5,0.25,2021-09-10T00:00:00.000Z,0.17585391842105264
-179.5,0.5,2021-09-10T00:00:00.000Z,0.1641457744
-179.5,0.75,2021-09-10T00:00:00.000Z,0.15170015592592592
-179.5,1,2021-09-10T00:00:00.000Z,0.1522973125
-179.5,1.25,2021-09-10T00:00:00.000Z,0.16123947555555557
-179.5,1.5,2021-09-10T00:00:00.000Z,0.1548787625
-179.5,1.75,2021-09-10T00:00:00.000Z,0.14672326741935485
-179.5,2,2021-09-10T00:00:00.000Z,0.14142513
-179.5,2.25,2021-09-10T00:00:00.000Z,0.13975529166666667
-179.5,2.5,2021-09-10T00:00:00.000Z,0.13484343999999998
-179.5,2.75,2021-09-10T00:00:00.000Z,0.12364625466666666
-179.5,3,2021-09-10T00:00:00.000Z,NA
-179.5,3.25,2021-09-10T00:00:00.000Z,0.14195569
-179.5,3.5,2021-09-10T00:00:00.000Z,0.152577016875
-179.5,3.75,2021-09-10T00:00:00.000Z,0.16116350222222223
-179.5,4,2021-09-10T00:00:00.000Z,0.13430053583333335
-179.5,4.25,2021-09-10T00:00:00.000Z,0.13000101868965516
-179.5,4.5,2021-09-10T00:00:00.000Z,0.13470753358333334
-179.5,4.75,2021-09-10T00:00:00.000Z,0.12642457447368421
-179.5,5,2021-09-10T00:00:00.000Z,0.14074999124999998
-179.5,5.25,2021-09-10T00:00:00.000Z,0.1287509326
-179.5,5.5,2021-09-10T00:00:00.000Z,NA
-179.5,5.75,2021-09-10T00:00:00.000Z,NA
-179.5,6,2021-09-10T00:00:00.000Z,NA
-179.5,6.25,2021-09-10T00:00:00.000Z,NA
-179.5,6.5,2021-09-10T00:00:00.000Z,NA
-179.5,6.75,2021-09-10T00:00:00.000Z,NA
-179.5,7,2021-09-10T00:00:00.000Z,NA
-179.5,7.25,2021-09-10T00:00:00.000Z,0.04862145836111111
-179.5,7.5,2021-09-10T00:00:00.000Z,0.05190822802777778
-179.5,7.75,2021-09-10T00:00:00.000Z,0.055106632527777775
