dttm,lon,lat,sss
2014-11-01,-128.5,4.5,34.4172
2014-11-01,-127.5,4.5,34.3835
2014-11-01,-126.5,4.5,34.5032
2014-11-01,-125.5,4.5,34.4581
2014-11-01,-124.5,4.5,34.3081
2014-11-01,-123.5,4.5,34.4835
2014-11-01,-122.5,4.5,34.5635
2014-11-01,-121.5,4.5,34.3708
2014-11-01,-120.5,4.5,34.4938
2014-11-01,-119.5,4.5,34.5023
2014-11-01,-118.5,4.5,34.356
2014-11-01,-117.5,4.5,34.4007
2014-11-01,-116.5,4.5,34.4004
2014-11-01,-115.5,4.5,34.4582
2014-11-01,-114.5,4.5,34.2328
2014-11-01,-113.5,4.5,34.2423
2014-11-01,-112.5,4.5,34.1026
2014-11-01,-111.5,4.5,33.9619
2014-11-01,-110.5,4.5,33.988
2014-11-01,-109.5,4.5,34.0395
2014-11-01,-108.5,4.5,33.8535
2014-11-01,-107.5,4.5,33.82
2014-11-01,-106.5,4.5,33.7865
2014-11-01,-105.5,4.5,33.9001
2014-11-01,-104.5,4.5,33.9843
2014-11-01,-103.5,4.5,33.8419
2014-11-01,-102.5,4.5,33.7553
2014-11-01,-101.5,4.5,33.5188
2014-11-01,-100.5,4.5,33.2657
2014-11-01,-99.5,4.5,33.4554
2014-11-01,-98.5,4.5,33.3914
2014-11-01,-97.5,4.5,33.2435
2014-11-01,-96.5,4.5,33.2373
2014-11-01,-95.5,4.5,33.3376
2014-11-01,-94.5,4.5,33.3331
2014-11-01,-93.5,4.5,33.0833
2014-11-01,-92.5,4.5,33.3808
2014-11-01,-91.5,4.5,33.1803
2014-11-01,-90.5,4.5,33.1082
2014-11-01,-179.5,5.5,33.981
2014-11-01,-178.5,5.5,33.7837
2014-11-01,-177.5,5.5,33.8929
2014-11-01,-176.5,5.5,33.9619
2014-11-01,-175.5,5.5,34.0204
2014-11-01,-174.5,5.5,33.9347
2014-11-01,-173.5,5.5,34.0188
2014-11-01,-172.5,5.5,34.1153
2014-11-01,-171.5,5.5,33.9875
2014-11-01,-170.5,5.5,33.99
2014-11-01,-169.5,5.5,34.2185
2014-11-01,-168.5,5.5,34.2634
2014-11-01,-167.5,5.5,34.1586
2014-11-01,-166.5,5.5,34.372
2014-11-01,-165.5,5.5,34.2057
2014-11-01,-164.5,5.5,34.095
2014-11-01,-163.5,5.5,33.9724
2014-11-01,-162.5,5.5,34.2777
2014-11-01,-161.5,5.5,33.8483
2014-11-01,-160.5,5.5,34.0316
2014-11-01,-159.5,5.5,34.1799
2014-11-01,-158.5,5.5,34.0444
2014-11-01,-157.5,5.5,34.1142
2014-11-01,-156.5,5.5,34.0584
2014-11-01,-155.5,5.5,33.7933
2014-11-01,-154.5,5.5,33.8712
2014-11-01,-153.5,5.5,34.0424
2014-11-01,-152.5,5.5,34.1605
2014-11-01,-151.5,5.5,34.1093
2014-11-01,-150.5,5.5,33.9912
2014-11-01,-149.5,5.5,34.1022
2014-11-01,-148.5,5.5,34.2163
2014-11-01,-147.5,5.5,34.3903
2014-11-01,-146.5,5.5,34.2737
2014-11-01,-145.5,5.5,34.2116
2014-11-01,-144.5,5.5,34.1466
2014-11-01,-143.5,5.5,34.1637
2014-11-01,-142.5,5.5,34.3234
2014-11-01,-141.5,5.5,34.5829
2014-11-01,-140.5,5.5,34.7672
2014-11-01,-139.5,5.5,34.6319
2014-11-01,-138.5,5.5,34.3781
2014-11-01,-137.5,5.5,34.3714
2014-11-01,-136.5,5.5,34.2205
2014-11-01,-135.5,5.5,33.975
2014-11-01,-134.5,5.5,34.0865
2014-11-01,-133.5,5.5,34.2765
2014-11-01,-132.5,5.5,34.261
2014-11-01,-131.5,5.5,34.3557
2014-11-01,-130.5,5.5,34.3281
2014-11-01,-129.5,5.5,34.2426
2014-11-01,-128.5,5.5,34.0253
2014-11-01,-127.5,5.5,34.1506
2014-11-01,-126.5,5.5,34.2641
2014-11-01,-125.5,5.5,34.2061
2014-11-01,-124.5,5.5,34.2314
2014-11-01,-123.5,5.5,34.3492
2014-11-01,-122.5,5.5,34.467
2014-11-01,-121.5,5.5,34.2817
2014-11-01,-120.5,5.5,34.1676
2014-11-01,-119.5,5.5,34.0509
2014-11-01,-118.5,5.5,34.0946
2014-11-01,-117.5,5.5,34.2501
2014-11-01,-116.5,5.5,34.1858
2014-11-01,-115.5,5.5,34.2065
2014-11-01,-114.5,5.5,33.9522
2014-11-01,-113.5,5.5,33.838
2014-11-01,-112.5,5.5,33.7745
2014-11-01,-111.5,5.5,33.5947
2014-11-01,-110.5,5.5,33.8508
2014-11-01,-109.5,5.5,33.6316
2014-11-01,-108.5,5.5,33.6316
2014-11-01,-107.5,5.5,33.3944
2014-11-01,-106.5,5.5,33.3866
2014-11-01,-105.5,5.5,33.3788
2014-11-01,-104.5,5.5,33.277
2014-11-01,-103.5,5.5,33.563
2014-11-01,-102.5,5.5,33.469
2014-11-01,-101.5,5.5,33.0959
2014-11-01,-100.5,5.5,33.228
2014-11-01,-99.5,5.5,33.1627
2014-11-01,-98.5,5.5,33.1385
2014-11-01,-97.5,5.5,33.2714
2014-11-01,-96.5,5.5,33.1351
2014-11-01,-95.5,5.5,33.1748
2014-11-01,-94.5,5.5,33.2612
2014-11-01,-93.5,5.5,33.0647
2014-11-01,-92.5,5.5,33.1355
2014-11-01,-91.5,5.5,33.1038
2014-11-01,-90.5,5.5,32.9336
2014-11-01,-179.5,6.5,33.9514
2014-11-01,-178.5,6.5,33.8243
2014-11-01,-177.5,6.5,33.8158
2014-11-01,-176.5,6.5,33.968
2014-11-01,-175.5,6.5,34.0092
2014-11-01,-174.5,6.5,33.8266
2014-11-01,-173.5,6.5,33.7585
2014-11-01,-172.5,6.5,33.924
2014-11-01,-171.5,6.5,33.7581
2014-11-01,-170.5,6.5,33.7068
2014-11-01,-169.5,6.5,33.8327
2014-11-01,-168.5,6.5,33.8006
2014-11-01,-167.5,6.5,33.7968
2014-11-01,-166.5,6.5,33.7327
2014-11-01,-165.5,6.5,33.7001
2014-11-01,-164.5,6.5,33.7203
2014-11-01,-163.5,6.5,34.164
2014-11-01,-162.5,6.5,34.1725
2014-11-01,-161.5,6.5,33.6593
2014-11-01,-160.5,6.5,33.7793
2014-11-01,-159.5,6.5,33.7841
2014-11-01,-158.5,6.5,33.7543
2014-11-01,-157.5,6.5,33.7515
2014-11-01,-156.5,6.5,33.6466
2014-11-01,-155.5,6.5,33.6062
2014-11-01,-154.5,6.5,33.7171
2014-11-01,-153.5,6.5,33.8237
2014-11-01,-152.5,6.5,33.8451
2014-11-01,-151.5,6.5,33.8678
2014-11-01,-150.5,6.5,33.772
2014-11-01,-149.5,6.5,33.6945
2014-11-01,-148.5,6.5,33.8225
2014-11-01,-147.5,6.5,33.8823
2014-11-01,-146.5,6.5,33.7913
2014-11-01,-145.5,6.5,33.9219
2014-11-01,-144.5,6.5,33.9089
2014-11-01,-143.5,6.5,34.0026
2014-11-01,-142.5,6.5,34.0637
2014-11-01,-141.5,6.5,34.2267
2014-11-01,-140.5,6.5,34.3539
2014-11-01,-139.5,6.5,34.2081
2014-11-01,-138.5,6.5,33.9805
2014-11-01,-137.5,6.5,33.7826
2014-11-01,-136.5,6.5,33.7951
2014-11-01,-135.5,6.5,33.6842
2014-11-01,-134.5,6.5,33.736
2014-11-01,-133.5,6.5,33.9946
2014-11-01,-132.5,6.5,33.8978
2014-11-01,-131.5,6.5,33.9199
2014-11-01,-130.5,6.5,33.6865
2014-11-01,-129.5,6.5,33.7216
2014-11-01,-128.5,6.5,33.8024
2014-11-01,-127.5,6.5,33.9184
2014-11-01,-126.5,6.5,33.9823
2014-11-01,-125.5,6.5,33.9205
2014-11-01,-124.5,6.5,34.0164
2014-11-01,-123.5,6.5,34.0994
2014-11-01,-122.5,6.5,34.1218
2014-11-01,-121.5,6.5,34.1082
2014-11-01,-120.5,6.5,33.8613
2014-11-01,-119.5,6.5,33.776
2014-11-01,-118.5,6.5,33.7044
2014-11-01,-117.5,6.5,33.8224
2014-11-01,-116.5,6.5,33.7563
2014-11-01,-115.5,6.5,33.5895
2014-11-01,-114.5,6.5,33.727
2014-11-01,-113.5,6.5,33.4104
2014-11-01,-112.5,6.5,33.3435
2014-11-01,-111.5,6.5,33.5176
2014-11-01,-110.5,6.5,33.3573
2014-11-01,-109.5,6.5,33.277
2014-11-01,-108.5,6.5,33.1883
2014-11-01,-107.5,6.5,33.0026
2014-11-01,-106.5,6.5,32.7856
2014-11-01,-105.5,6.5,32.7045
2014-11-01,-104.5,6.5,33.1195
2014-11-01,-103.5,6.5,32.9077
2014-11-01,-102.5,6.5,32.5384
2014-11-01,-101.5,6.5,32.7595
2014-11-01,-100.5,6.5,33.031
2014-11-01,-99.5,6.5,32.8203
2014-11-01,-98.5,6.5,32.9874
2014-11-01,-97.5,6.5,32.9444
2014-11-01,-96.5,6.5,32.9966
2014-11-01,-95.5,6.5,33.0345
2014-11-01,-94.5,6.5,32.7943
2014-11-01,-93.5,6.5,32.8655
2014-11-01,-92.5,6.5,32.7769
2014-11-01,-91.5,6.5,32.6851
2014-11-01,-90.5,6.5,32.7287
2014-11-01,-179.5,7.5,33.9115
2014-11-01,-178.5,7.5,33.9268
2014-11-01,-177.5,7.5,33.9711
2014-11-01,-176.5,7.5,34.0084
2014-11-01,-175.5,7.5,33.8968
2014-11-01,-174.5,7.5,33.8968
2014-11-01,-173.5,7.5,33.918
2014-11-01,-172.5,7.5,33.8383
2014-11-01,-171.5,7.5,33.7359
2014-11-01,-170.5,7.5,33.6798
2014-11-01,-169.5,7.5,33.6679
2014-11-01,-168.5,7.5,33.6559
2014-11-01,-167.5,7.5,33.6792
2014-11-01,-166.5,7.5,33.7043
2014-11-01,-165.5,7.5,33.562
2014-11-01,-164.5,7.5,33.6186
2014-11-01,-163.5,7.5,33.7957
2014-11-01,-162.5,7.5,33.8156
2014-11-01,-161.5,7.5,33.7679
2014-11-01,-160.5,7.5,33.6669
2014-11-01,-159.5,7.5,33.7504
2014-11-01,-158.5,7.5,33.5603
2014-11-01,-157.5,7.5,33.4463
2014-11-01,-156.5,7.5,33.6981
2014-11-01,-155.5,7.5,33.6782
